,date,city,country,lat,lng,temp,maxtemp,humidity,cloud,wind,just_date
232,2020-01-11 15:58:44,Kumul,CN,42.8,93.45,-9.25,-9.25,54,0,1.55,2020-01-11
233,2020-01-11 15:58:44,Esim,GH,4.87,-2.24,31.18,31.18,54,81,3.51,2020-01-11
234,2020-01-11 15:58:44,Matara,LK,5.95,80.54,25.36,25.36,81,0,2.15,2020-01-11
235,2020-01-11 15:58:44,Dapaong,TG,10.86,0.2,36.69,36.69,16,11,0.46,2020-01-11
236,2020-01-11 15:58:44,Puessi,EE,59.36,27.05,1.71,1.71,61,94,7.16,2020-01-11
237,2020-01-11 15:56:56,Cabo San Lucas,MX,22.89,-109.91,16.73,18.89,59,40,7.2,2020-01-11
238,2020-01-11 15:58:44,Monte Alegre,BR,-2.01,-54.07,30.56,30.56,51,41,2.39,2020-01-11
239,2020-01-11 15:58:44,Gravelbourg,CA,49.88,-106.55,-9.65,-9.65,94,100,4.12,2020-01-11
240,2020-01-11 15:58:44,Haines Junction,CA,60.75,-137.51,-34.45,-34.45,93,0,2.8,2020-01-11
241,2020-01-11 15:58:45,Airai,TL,-8.93,125.41,20.07,20.07,86,100,2.74,2020-01-11
242,2020-01-11 15:58:45,Ust-Tsilma,RU,65.44,52.15,-11.58,-11.58,96,72,1.74,2020-01-11
243,2020-01-11 15:55:01,Imbituba,BR,-28.24,-48.67,28.0,28.0,83,20,6.7,2020-01-11
244,2020-01-11 15:58:45,Biak,ID,-0.91,122.88,28.06,28.06,75,100,3.67,2020-01-11
245,2020-01-11 15:58:45,Yei,SS,4.09,30.68,31.27,31.27,14,0,3.05,2020-01-11
246,2020-01-11 15:58:45,Srivardhan,IN,18.03,73.02,24.78,24.78,77,0,1.21,2020-01-11
247,2020-01-11 15:58:45,Garoowe,SO,8.41,48.48,30.09,30.09,32,0,1.72,2020-01-11
248,2020-01-11 15:58:45,Nakamura,JP,32.98,132.93,5.99,5.99,67,85,1.74,2020-01-11
249,2020-01-11 15:58:45,Norsup,VU,-16.07,167.38,23.0,23.0,100,100,7.98,2020-01-11
250,2020-01-11 15:58:45,Nantucket,US,41.28,-70.1,12.33,16.11,81,90,9.3,2020-01-11
251,2020-01-11 15:58:45,Garissa,KE,-0.45,39.64,32.86,32.86,45,36,1.74,2020-01-11
252,2020-01-11 15:58:45,Samfya,ZM,-11.36,29.56,20.4,20.4,91,100,3.45,2020-01-11
253,2020-01-11 15:58:46,Port Blair,IN,11.67,92.75,26.55,26.55,76,19,7.53,2020-01-11
254,2020-01-11 15:58:46,Saint-Pierre,RE,-21.34,55.48,22.91,26.0,78,90,9.3,2020-01-11
255,2020-01-11 15:58:46,Dodge City,US,37.75,-100.02,-9.86,-8.33,78,1,6.2,2020-01-11
256,2020-01-11 15:58:46,Glazov,RU,58.14,52.66,-8.54,-8.54,95,92,3.38,2020-01-11
257,2020-01-11 15:54:50,Antigonish,CA,45.62,-62.0,3.44,4.44,86,90,4.6,2020-01-11
258,2020-01-11 15:58:46,Progreso,MX,21.28,-89.67,27.13,27.22,83,75,6.2,2020-01-11
259,2020-01-11 15:58:46,Berea,US,41.37,-81.85,16.6,18.0,55,1,8.2,2020-01-11
260,2020-01-11 15:55:45,Ahipara,NZ,-35.17,173.17,11.67,11.67,94,0,1.32,2020-01-11
261,2020-01-11 15:58:46,Avanuorri,NO,71.0,24.66,-1.0,-1.0,74,68,4.6,2020-01-11
262,2020-01-11 15:58:46,Port Lincoln,AU,-34.73,135.87,15.67,15.67,77,0,7.15,2020-01-11
263,2020-01-11 15:58:39,Mar del Plata,AR,-38.0,-57.56,27.38,27.78,36,0,10.8,2020-01-11
264,2020-01-11 15:58:46,Cap Malheureux,MU,-19.98,57.61,25.24,25.56,100,75,3.6,2020-01-11
265,2020-01-11 15:54:34,Westport,US,41.14,-73.36,13.41,16.11,81,1,3.6,2020-01-11
266,2020-01-11 15:58:47,Tadine,NC,-21.55,167.88,22.57,22.57,92,100,5.25,2020-01-11
267,2020-01-11 15:58:47,Taoudenni,ML,22.68,-3.98,21.93,21.93,13,0,4.67,2020-01-11
268,2020-01-11 15:58:47,Raudeberg,NO,61.99,5.14,8.4,9.0,81,100,11.8,2020-01-11
269,2020-01-11 15:58:47,Fortuna,US,40.6,-124.16,7.53,9.44,100,90,4.1,2020-01-11
270,2020-01-11 15:58:47,Mahebourg,MU,-20.41,57.7,25.31,25.56,100,75,3.6,2020-01-11
271,2020-01-11 15:58:47,Tuatapere,NZ,-46.13,167.68,12.78,12.78,78,100,0.45,2020-01-11
272,2020-01-11 15:58:47,Fairmont,US,39.49,-80.14,19.77,22.0,52,1,9.3,2020-01-11
273,2020-01-11 15:58:47,Alofi,NU,-19.06,-169.92,24.0,24.0,94,35,2.1,2020-01-11
274,2020-01-11 15:58:47,Manicore,BR,-5.81,-61.3,28.71,28.71,80,0,1.84,2020-01-11
275,2020-01-11 15:58:47,Dickinson,US,29.46,-95.05,10.74,13.33,81,75,6.2,2020-01-11
276,2020-01-11 15:58:47,San Patricio,MX,19.22,-104.7,21.0,21.0,77,75,2.22,2020-01-11
277,2020-01-11 15:58:47,Kisanga,TZ,-7.44,37.7,29.48,29.48,72,80,1.21,2020-01-11
278,2020-01-11 15:58:47,Kavieng,PG,-2.57,150.8,28.5,28.5,78,100,5.51,2020-01-11
279,2020-01-11 15:57:55,Mehamn,NO,71.04,27.85,-2.39,-2.39,76,98,4.31,2020-01-11
280,2020-01-11 15:55:53,Parkersburg,US,39.27,-81.56,20.67,22.22,59,1,4.1,2020-01-11
281,2020-01-11 15:58:48,Eyrarbakki,IS,63.86,-21.15,-1.76,0.0,60,75,10.3,2020-01-11
282,2020-01-11 15:58:48,Chokwe,MZ,-24.53,32.98,28.75,28.75,67,5,5.55,2020-01-11
283,2020-01-11 15:58:48,Lavrentiya,RU,65.58,-171.0,-13.11,-13.11,76,100,6.89,2020-01-11
284,2020-01-11 15:58:48,Smithers,CA,54.78,-127.17,-8.0,-8.0,85,90,2.1,2020-01-11
285,2020-01-11 15:58:48,Klyuchevskiy,RU,53.53,119.45,-23.86,-23.86,93,100,1.32,2020-01-11
286,2020-01-11 15:57:49,Denpasar,ID,-8.65,115.22,27.0,27.0,94,40,3.6,2020-01-11
287,2020-01-11 15:58:48,Hobyo,SO,5.35,48.53,26.17,26.17,78,41,5.82,2020-01-11
288,2020-01-11 15:58:48,Yinchuan,CN,38.47,106.27,-5.45,-5.45,59,99,0.88,2020-01-11
289,2020-01-11 15:58:48,Puerto Escondido,MX,15.85,-97.07,25.0,25.0,78,20,0.29,2020-01-11
290,2020-01-11 15:58:48,Yenagoa,NG,4.92,6.26,30.77,30.77,58,100,3.69,2020-01-11
291,2020-01-11 15:58:48,Hounde,BF,11.5,-3.52,35.91,35.91,12,0,2.46,2020-01-11
292,2020-01-11 15:58:48,Coquimbo,CL,-29.95,-71.34,20.0,20.0,68,38,6.2,2020-01-11
293,2020-01-11 15:58:48,Sozimskiy,RU,59.74,52.25,-8.21,-8.21,95,93,2.64,2020-01-11
294,2020-01-11 15:58:49,Abu Samrah,SY,35.3,37.18,9.76,9.76,72,0,3.72,2020-01-11
295,2020-01-11 15:57:30,Bhubaneswar,IN,20.23,85.83,18.0,18.0,72,0,0.5,2020-01-11
296,2020-01-11 15:58:49,Jiazi,CN,22.88,116.07,16.73,16.73,55,12,2.37,2020-01-11
297,2020-01-11 15:58:49,Tazovsky,RU,67.47,78.7,-11.14,-11.14,91,100,8.11,2020-01-11
298,2020-01-11 15:58:49,Tinambacan,PH,12.09,124.5,25.81,25.81,82,100,3.95,2020-01-11
299,2020-01-11 15:58:49,Shellbrook,CA,53.22,-106.4,-23.0,-23.0,76,90,6.7,2020-01-11
300,2020-01-11 15:58:49,Adelaide,AU,-34.93,138.6,14.53,16.11,67,0,3.6,2020-01-11
301,2020-01-11 15:58:49,Vila,PT,42.03,-8.16,11.59,13.0,58,57,0.5,2020-01-11
302,2020-01-11 15:58:49,Monteagudo,BO,-19.82,-63.98,26.0,26.0,69,90,2.92,2020-01-11
303,2020-01-11 15:58:49,Ubari,LY,26.59,12.78,17.92,17.92,18,0,5.24,2020-01-11
304,2020-01-11 15:58:49,Mahon,ES,39.89,4.27,11.0,11.0,87,75,4.1,2020-01-11
305,2020-01-11 15:56:08,Englewood,US,39.65,-104.99,-8.28,-5.0,92,1,1.5,2020-01-11
306,2020-01-11 15:58:50,Pevek,RU,69.7,170.31,-21.96,-21.96,97,100,2.48,2020-01-11
